Company,Country/Region,Tech type,TRL (2025),First plant size (t CO₂/yr),Funding round,Round date (YYYY-MM),Amount (USD M),Lead investor(s),Total funding to date (USD M),Public grants / DOE award (USD M),Policy incentives targeted,Offtake buyers,Credit price disclosed? (Y/N),Projected cost ($/t CO₂),Storage partner / site,Source link,"Data quality (1–Low, 3=High)",amount_original,round_class,Notes / gaps,Disclosed credit price ($/t),45Q eligible (Y/N),LCFS eligible (Y/N)
CarbonCapture Inc.,US,Modular zeolite,6.0,200000.0,Series A,2021-10-19,35.0,Prime Movers Lab;Rio Tinto;Idealab Studio,,,,Stripe; Alphabet; Shopify,N,250.0,"Frontier Carbon Solutions, Wyoming",https://www.businesswire.com/news/home/20211019005529/en/Carbon-Capture-Inc.-Closes-%2435-Million-Series-A-Funding-From-Prime-Movers-Lab-Rio-Tinto-Idealab-Studio-and-Time-Ventures,3,USD 35 M,Equity,,,Y,N
CarbonCapture Inc.,US,Modular zeolite,6.0,200000.0,Series A,2024-03-12,80.0,Prime Movers Lab;Amazon Climate Pledge Fund;Aramco Ventures,,,,Stripe; Alphabet; Shopify,N,250.0,"Frontier Carbon Solutions, Wyoming",https://www.carboncapture.com/newsroom/carboncapture-closes-80-million-series-a-financing,3,USD 80 M,Equity,,,Y,N
CarbonCapture Inc.,US,Modular zeolite,6.0,200000.0,Equity investment,2023-09-11,,Amazon Climate Pledge Fund,,,,Stripe; Alphabet; Shopify,N,250.0,"Frontier Carbon Solutions, Wyoming",https://www.businesswire.com/news/home/20230911644501/en/Direct-Air-Capture-Company-CarbonCapture-Inc.-Announces-Equity-Investment-from-Amazon%E2%80%99s-Climate-Pledge-Fund,2,undisclosed,Equity,undisclosed amount,,Y,N
CarbonCapture Inc.,US,Modular zeolite,6.0,200000.0,DOE DAC Hub grant,2023-08-22,12.5,U.S. DOE,,12.5,DOE DAC Hub,Stripe; Alphabet; Shopify,N,250.0,"Frontier Carbon Solutions, Wyoming",https://www.businesswire.com/news/home/20230822840089/en/CarbonCapture-Inc.-and-Partners-Selected-for-U.S.-DOE-Funding-of-%2412.5-Million-to-Develop-Regional-Direct-Air-Capture-Hub-in-Wyoming,3,USD 12.5 M,Cost-share grant,,,Y,N
CarbonCapture Inc.,US,Modular zeolite,6.0,200000.0,DOE DAC Hub grant,2025-02-14,10.0,U.S. DOE,,10.0,DOE DAC Hub,Stripe; Alphabet; Shopify,N,250.0,"Frontier Carbon Solutions, Wyoming",https://www.carboncapture.com/newsroom/carboncapture-inc.-under-contract-with-doe-for-direct-air-capture-hub-in-louisiana,3,USD 10 M,Cost-share grant,,,Y,N
CarbonCapture Inc.,US,Modular zeolite,6.0,200000.0,Prize,2024-05-29,,,,,,Stripe; Alphabet; Shopify,N,250.0,"Frontier Carbon Solutions, Wyoming",https://www.globenewswire.com/news-release/2024/05/29/2890072/0/en/CarbonCapture-wins-initial-award-as-part-of-DOE-s-Carbon-Dioxide-Removal-Purchase-Pilot-Prize-program.html,2,undisclosed,Prize,undisclosed amount,,Y,N
Sustaera,US,Mineral sorbent (?),5.0,3650.0,Series A,2021-12-16,10.0,Breakthrough Energy Ventures;Neglected Climate Opportunities,,,,Stripe,N,100.0,,https://www.businesswire.com/news/home/20211216005309/en/Sustaera-Closes-%2410-million-Series-A-Financing-to-Develop-Low-Cost-Direct-Air-Capture-Technology,3,USD 10 M,Equity,,,Y,N
Sustaera,US,Mineral sorbent (?),5.0,3650.0,Prize,2022-04-22,1.0,,,,,Stripe,N,100.0,,https://www.sustaera.com/sustaera-selected-for-1m-xprize-milestone-prize,3,USD 1 M,Prize,,,Y,N
Sustaera,US,Mineral sorbent (?),5.0,3650.0,Grant,2021-10-01,1.5,,,1.5,,Stripe,N,100.0,,https://netl.doe.gov/sites/default/files/netl-file/23CM_CDR28_Gupta.pdf,2,"USD 1,500,000",Grant,,,Y,N
Sustaera,US,Mineral sorbent (?),5.0,3650.0,Grant,2023-08-01,3.0,,,3.0,DOE DAC Hub,Stripe,N,100.0,,https://www.energy.gov/fecm/project-selections-foa-2735-regional-direct-air-capture-hubs-topic-area-1-feasibility-and,2,"USD 2,999,754",Cost-share grant,,,Y,N
Mission Zero,UK,Electro-membrane,6.0,50.0,Seed,2022-05-12,5.0,Breakthrough Energy Ventures;Anglo American,,,,Stripe,N,100.0,"44.01 (Project Hajar, Oman)",https://www.missionzero.tech/lab-notes/5m-seed-round,3,USD 5 M,Equity,,,N,N
Mission Zero,UK,Electro-membrane,6.0,50.0,Prize,2022-04-22,1.0,,,,,Stripe,N,100.0,"44.01 (Project Hajar, Oman)",https://www.businesswire.com/news/home/20220422005249/en/Project-Hajar-a-collaboration-between-Mission-Zero-Technologies-and-44.01-wins-%241M-XPRIZE-Carbon-Removal-Milestone-Award,3,USD 1 M,Prize,,,N,N
Mission Zero,UK,Electro-membrane,6.0,50.0,Grant,2021-05-24,0.3,,,0.3,,Stripe,N,100.0,"44.01 (Project Hajar, Oman)",https://www.missionzero.tech/lab-notes/uk-government-funding,2,GBP 240000,Grant,,,N,N
Mission Zero,UK,Electro-membrane,6.0,50.0,Grant,2022-07-08,3.6,,,3.6,,Stripe,N,100.0,"44.01 (Project Hajar, Oman)",https://www.businesswire.com/news/home/20220708005255/en/Mission-Zero-led-Consortium-Awarded-%C2%A33M-UK-Government-Contract-to-Pilot-Breakthrough-DAC-Technology,3,GBP 3 M,Grant,,,N,N
Mission Zero,UK,Electro-membrane,6.0,50.0,Series A,2024-03-18,27.8,2150;Breakthrough Energy Ventures;World Fund,,,,Stripe,N,100.0,"44.01 (Project Hajar, Oman)",https://www.missionzero.tech/lab-notes/21-8m-series-a,3,GBP 21.8 M,Equity,,,N,N
Spiritus,US,Passive orchard,5.0,1000.0,Seed,2023-09-06,11.0,Khosla Ventures;Page One Ventures,,,,Stripe; Shopify; H&M Group,N,100.0,,https://spiritus.com/single-news/spiritus-launches-sets-stage-for-economical-carbon-removal-at-less-than-100-per-ton,3,USD 11 M,Equity,,,Y,N
Spiritus,US,Passive orchard,5.0,1000.0,Series A,2025-03-06,30.0,Aramco Ventures;Khosla Ventures;Mitsubishi Heavy Industries America,,,,Stripe; Shopify; H&M Group,N,100.0,,https://www.businesswire.com/news/home/20250306128973/en/Spiritus-Unleashes-a-Golden-Era-of-Carbon-Removal-to-Power-Americas-Explosive-Growth-%2430M-Series-A-to-Scale-Direct-Air-Capture,3,USD 30 M,Equity,,,Y,N
Verdox,US,Electro-swing adsorption,4.0,,Series A,2022-02-02,80.0,Breakthrough Energy Ventures;Prelude Ventures;Lowercarbon Capital,,,,,N,50.0,"Carbfix, Iceland",https://verdox.com/press-release/verdox-captures-80m-to-develop-novel-electric-carbon-removal-technology,3,USD 80 M,Equity,,,N,N
Verdox,US,Electro-swing adsorption,4.0,,Prize,2022-04-22,1.0,,,,,,N,50.0,"Carbfix, Iceland",https://verdox.com/press-release/verdox-wins-1m-xprize-carbon-removal-award-together-with-partner-carbfix,3,USD 1 M,Prize,,,N,N
