company_cost,plant_capacity_tpy_cost,capex_per_t_usd,capex_basis_year,opex_per_t_usd,kwh_electric_per_t_cost,gj_thermal_per_t_cost,construction_spend_split_cost,commercial_operation_year_cost,debt_equity_ratio_cost,Comment,capex_proxy_flag,opex_proxy_flag,opex_basis_year,company_canon,company_op,commercial_operation_year_op,construction_spend_split_op,debt_equity_ratio_op,eligibility_45q,gj_thermal_per_t_op,kwh_electric_per_t_op,lcfs_eligibility,offtake_price_usd_per_t,plant_capacity_tpy_op,storage_partner,company_id,Company,inflated,capex_oob,opex_oob,proxy_break,plant_capacity_tpy_patch,plant_capacity_tpy_basis_year,plant_capacity_tpy_proxy_flag,plant_capacity_tpy_data_quality,plant_capacity_tpy_source_url,plant_capacity_tpy_evidence_snippet,plant_capacity_tpy_comments,kwh_electric_per_t_patch,kwh_electric_per_t_basis_year,kwh_electric_per_t_proxy_flag,kwh_electric_per_t_data_quality,kwh_electric_per_t_source_url,kwh_electric_per_t_evidence_snippet,kwh_electric_per_t_comments,gj_thermal_per_t_patch,gj_thermal_per_t_basis_year,gj_thermal_per_t_proxy_flag,gj_thermal_per_t_data_quality,gj_thermal_per_t_source_url,gj_thermal_per_t_evidence_snippet,gj_thermal_per_t_comments,commercial_operation_year_basis_year,commercial_operation_year_proxy_flag,commercial_operation_year_data_quality,commercial_operation_year_source_url,commercial_operation_year_evidence_snippet,commercial_operation_year_comments,public_grants_usd_m,f_grant,proxy_flag,data_quality,Notes,source_link
Climeworks,4000.0,2775.0000000000005,2023.0,125.0,500,5.4,"{""y-1"":0.6,""y0"":0.4}",2021.0,0.0,Construction spend split assumed 60/40 (18‑24 mo build window). Debt‑equity set to 0 (all‑equity financing).,,,2024.0,Climeworks,Climeworks,2024.0,30:50:20,40:60,N,5.4,500,N,600.0,36000,Carbfix,4,Climeworks,Y,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,
Carbon Engineering,500000.0,2886.0000000000005,2023.0,160.0,366,5.25,"{""y-1"":0.6,""y0"":0.4}",2025.0,0.3,OPEX proxied at 200 $/t from IEA‑2024 solvent‑DAC average; 60/40 spend split assumed; 30 % debt.,,,2024.0,Carbon Engineering,Carbon Engineering,2025.0,30:50:20,70:30,Y,8.8,360,N,400.0,500000,1PointFive,1,Carbon Engineering,Y,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,,,,,
Heirloom,17000.0,27940.0,2024.0,238.65000000000003,500,8.0,"{""y-1"":0.6,""y0"":0.4}",2026.0,0.3,OPEX proxied 300 $/t from solid‑sorbent FOAK average; other assumptions default.,,,2023.0,Heirloom,Heirloom,2023.0,25:50:25,30:70,Y,0.0,2500,N,989.0,1000,CarbonCure Technologies,6,Heirloom,Y,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,,,
CarbonCapture Inc.,2000.0,2830.0,2024.0,110.0,300,2.0,"{""y-1"":0.6,""y0"":0.4}",2025.0,0.3,CAPEX target (<5 000 $/t) treated as midpoint; OPEX proxy 300 $/t; COD TBD.,,,2024.0,CarbonCapture Inc.,CarbonCapture Inc.,2025.0,Proxy (40:40:20),70:30,Y,8.0,560,N,440.0,2000,Frontier Carbon Solutions,2,CarbonCapture Inc.,N,False,False,False,500.0,2024.0,N,2.0,https://netl.doe.gov/sites/default/files/netl-file/24CM/24CM_CDR_8_Loria.pdf,"Each module is equipped with 12 DAC reactors … Nominal capacity of **500 tons/year**. (NETL CarbonCapture presentation, Aug 2024)",First‑generation Leo‑series module; fits ‘plant’ definition used in model.,500.0,2025.0,N,2.0,https://www.energy.ca.gov/filebrowser/download/7544?fid=7544,"Project target: *prove a structured sorbent design … at **500 kWh / t CO₂*** (California Energy Commission Scope‑of‑Work, May 2025)",CEC contract sets near‑term performance target adopted as TEA value.,2.0,2024.0,Y,1.0,https://netl.doe.gov/sites/default/files/netl-file/24CM/24CM_CDR_8_Loria.pdf,Process diagram step: **Heat with steam** in TVSA cycle (same source as above).,No public quantitative figure; proxy assumes low‑grade steam duty ≈ 2 GJ t⁻¹ (≈ 500 kWh e).,2024.0,N,3.0,https://www.carboncapture.com/,"Leo Series DAC module … **available … starting in 2025** (company website, accessed Jul 2025)",First market‑ready units define initial commercial year.,13.0,,,,,
Global Thermostat,1000.0,3730.0,2024.0,110.0,160,4.4,"{""y-1"":0.6,""y0"":0.4}",,0.3,CAPEX proxy 818 $/t from Fasihi 2019 low‑temperature TEA (no GT cost published). OPEX proxy 300 $/t; spend‑split 60/40 and 30 % debt assumed.,,,2024.0,Global Thermostat,Global Thermostat,2022.0,25:50:25,30:70,Y,8.7,500,N,600.0,1000,Carbon America,5,Global Thermostat,N,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
Mission Zero,1000.0,2900.0,2023.0,266.40000000000003,2180,0.0,"{""y-1"":0.6,""y0"":0.4}",2023.0,0.0,Costs from UK Phase‑1 FEED; fully electric; spend split assumed.,,,2022.0,Mission Zero,Mission Zero Technologies,2025.0,25:50:25,30:70,N,0.0,2180,N,319.0,120,O.C.O Technology,7,Mission Zero,Y,False,False,False,1000.0,2024.0,N,3.0,https://www.taylorwessing.com/fr/insights-and-events/news/media-centre/press-releases/2024/03/advising-on-mission-zero-technologies,"Investment … accelerates development of a DAC product with a *recovery capacity of **1,000 t CO₂ per year***.",Represents capacity of first FOAK system.,2180.0,2024.0,Y,1.0,https://2150-vc.medium.com/investing-into-mission-zero-technologies-to-unlock-versatile-direct-air-capture-for-gigatonne-869f242aee2b,First‑generation DAC technologies are expected to use **> 2000 kWh/t CO₂**.,"Proxy uses internal TEA figure (2,180 kWh/t) aligned with public >2 000 kWh range.",,2024.0,N,3.0,https://www.missionzero.tech/direct-air-capture,"We’ve pioneered a new, **heat‑free electrochemical direct air capture process**.",Electro‑swing regeneration needs no external thermal input.,2023.0,N,3.0,https://www.missionzero.tech/lab-notes/our-second-direct-air-capture-plant,…following the launch of the **UK’s first commercial DAC plant in late 2023**.,Late‑2023 launch marks first commercial ops.,0.0,,Y,1.0," Liquid DAC analog: $150/t @1Mt, scaled to 1kt 0.6 power-law, CPI 1.11", https://www.sciencedirect.com
Sustaera,3650.0,2220.0,2024.0,85.0,250,4.0,"{""y-1"":0.6,""y0"":0.4}",2024.0,0.3,"Company CAPEX (<600 $/t), OPEX (~300 $/t) and energy (<1500 kWh/t) targets validated via DOE ARPA‑E presentation (Gupta 2022). Spend‑split 60/40 and 30 % debt are assumptions.",,,2024.0,Sustaera,Sustaera,,25:50:25,30:70,N,0.0,1500,N,447.0,5000,,9,Sustaera,N,False,False,False,,,,,,,,,,,,,,,,,,,,,,2022.0,N,3.0,https://www.sustaera.com/shopify-selects-sustaera-for-a-multi-year-carbon-removal-agreement,"Shopify … agreed to purchase 5,000 t of carbon removal from Sustaera **starting in 2024**.",Start of credit deliveries indicates first commercial operation.,0.5,1.0,,,,
Spiritus,2000000.0,1210.0,2024.0,100.0,800,0.0,"{""y-1"":0.6,""y0"":0.4}",2025.0,0.3,CAPEX <500 $/t and energy <1 MWh/t confirmed on Spiritus “By the numbers” page; OPEX proxy 300 $/t; spend‑split 60/40 and 30 % debt assumed.,,,2024.0,Spiritus,Spiritus,2026.0,30:50:20,40:60,Y,0.0,1000,N,447.0,2000000,Casper Carbon Capture,8,Spiritus,N,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.0,,,,
Carbyon,50.0,19000.0,2023.0,130.0,300,1.0,"{""y-1"":0.6,""y0"":0.4}",,0.3,CAPEX/OPEX proxy from rotating‑sorbent archetype; energy from lab prototype.,,,2024.0,Carbyon,Carbyon,2025.0,25:50:25,30:70,N,0.0,1000,N,440.0,50,Deep Sky,3,Carbyon,Y,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Y,1.0," Solid DAC analog: $1000/t @1Mt, scaled to 1kt 0.6 power-law, CPI 1.11", https://www.sciencedirect.com
Verdox,100000.0,1410.0,2024.0,55.0,411,1.0,"{""y-1"":0.6,""y0"":0.4}",2024.0,0.3,Electro‑swing lab data; CAPEX/OPEX proxy from electrochemical DAC archetype.,,,2025.0,Verdox,Verdox,,25:50:25,30:70,N,0.0,560,N,600.0,1000,Carbfix,10,Verdox,N,False,False,False,,,,,,,,,,,,,,,,,,,,,,2025.0,N,2.0,https://www.researchgate.net/publication/393755071_Advancements_in_Direct_Air_Capture_Technologies_Engineering_Solutions_for_Scalable_CO_Removal,"Table lists **Verdox Pilot … Pilot 2024** (< 1 kt CO₂/yr, USA).",Peer‑reviewed 2025 review summarises pilot timeline.,0.6,,,,,
